NAME,Population,Median_Income
"Ada County, Idaho",456849,32937
"Bear Lake County, Idaho",6000,26286
"Bingham County, Idaho",45839,24405
"Camas County, Idaho",1048,25087
"Clearwater County, Idaho",8673,25302
"Jefferson County, Idaho",28534,27630
"Lane County, Oregon",373340,26061
"Surry County, Virginia",6523,32457
"Clarke County, Virginia",14423,36717
"Mecklenburg County, Virginia",30728,25324
"Augusta County, Virginia",75079,30889
"Goochland County, Virginia",22865,40720
"Madison County, Virginia",13170,28136
"Roanoke County, Virginia",93823,36325
"Brunswick County, Virginia",16520,19568
"Northampton County, Virginia",11885,25717
"Rockbridge County, Virginia",22570,26949
"Norton city, Virginia",3970,19756
"Colonial Heights city, Virginia",17428,30329
"Bland County, Virginia",6388,25587
"Botetourt County, Virginia",33343,33271
"Bristol city, Virginia",16912,20711
"Williamsburg city, Virginia",14927,16302
"Carroll County, Virginia",29801,22506
"Sacramento County, California",1524553,32275
"El Dorado County, California",188563,36682
"Monterey County, California",433410,28207
"San Francisco County, California",874961,52677
"San Diego County, California",3316073,34307
"Tulare County, California",461898,22994
"Humboldt County, California",135940,25114
"Alpine County, California",1039,30512
"Madera County, California",155433,23691
"Santa Cruz County, California",273962,31174
"Trinity County, California",12700,23901
"Riverside County, California",2411439,28557
"San Bernardino County, California",2149031,27235
"Marin County, California",259943,52866
"Placer County, California",385512,41130
"Shasta County, California",179212,27000
"Solano County, California",441829,36273
"Colusa County, California",21454,27103
"Copiah County, Mississippi",28501,21718
"Hinds County, Mississippi",238797,24851
"Union County, Mississippi",28507,24243
"Tippah County, Mississippi",22018,22388
"Forrest County, Mississippi",75224,20502
"Lafayette County, Mississippi",53590,23358
"Lowndes County, Mississippi",59150,27971
"Wilkinson County, Mississippi",8875,16143
"Jefferson Davis County, Mississippi",11339,20051
"Scott County, Mississippi",28332,21183
"Yazoo County, Mississippi",28565,18923
"Bolivar County, Mississippi",31848,18718
"Pike County, Mississippi",39532,19574
"Stone County, Mississippi",18276,21066
"Kemper County, Mississippi",9943,17896
"Sunflower County, Mississippi",26168,18212
"Adams County, Mississippi",31266,19463
"DeSoto County, Mississippi",178975,32369
"Delaware County, Pennsylvania",564554,35628
"Somerset County, Pennsylvania",74361,25627
"Madison County, Missouri",12179,23587
"Vernon County, Missouri",20595,25009
"Nodaway County, Missouri",22359,20924
"Chariton County, Missouri",7483,23881
"Wayne County, Missouri",13195,18236
"Scott County, Missouri",38633,22709
"Barton County, Missouri",11797,22363
"Cedar County, Missouri",14043,21190
"Gasconade County, Missouri",14711,26785
"Macon County, Missouri",15199,24657
"Oregon County, Missouri",10647,20333
"Ste. Genevieve County, Missouri",17848,28897
"Douglas County, Missouri",13306,19586
"Henry County, Missouri",21735,24875
"Lawrence County, Missouri",38204,23967
"Pulaski County, Missouri",52425,24121
"Texas County, Missouri",25604,21045
"Callaway County, Missouri",44889,28863
"Cooper County, Missouri",17660,27894
"Gentry County, Missouri",6616,25652
"Washington County, Virginia",54071,25266
"Page County, Virginia",23788,25036
"Alexandria city, Virginia",157613,59419
"Hampton city, Virginia",135041,30458
"Arlington County, Virginia",233464,70148
"Buchanan County, Virginia",21788,17764
"Stafford County, Virginia",146773,45929
"Richmond city, Virginia",226622,26454
"Essex County, Virginia",10998,26599
"Tazewell County, Virginia",41603,22768
"Manassas Park city, Virginia",16986,36904
"Sussex County, Virginia",11377,23129
"Manassas city, Virginia",41174,37783
"Salem city, Virginia",25317,29356
"Charlotte County, Virginia",12040,21931
"Greensville County, Virginia",11525,20130
"Thurston County, Washington",279711,37076
"Columbia County, Washington",3992,31349
"Mississippi County, Missouri",13574,14973
"Ozark County, Missouri",9207,17707
"Bollinger County, Missouri",12225,22355
"Sumner County, Tennessee",183437,32203
"Trousdale County, Tennessee",10231,26749
"Clay County, Tennessee",7654,17133
"Moultrie County, Illinois",14641,31856
"Pike County, Illinois",15672,27016
"Pope County, Illinois",4203,21153
"St. Clair County, Illinois",262338,30310
"Shelby County, Illinois",21737,29644
"Champaign County, Illinois",209922,28603
"Calhoun County, Illinois",4830,27843
"Ford County, Illinois",13270,30083
"Kane County, Illinois",531376,33731
"Kendall County, Illinois",126054,40170
"Brown County, Illinois",6628,30690
"Marion County, Illinois",37743,26237
"Mason County, Illinois",13621,26764
"Iroquois County, Illinois",27812,26890
"Clay County, Illinois",13287,26802
"Gallatin County, Illinois",5064,26342
"Monroe County, Illinois",34168,41254
"Union County, Illinois",16968,27669
"Winnebago County, Illinois",284819,28400
"Pulaski County, Illinois",5510,21208
"Schuyler County, Illinois",6953,29440
"Edgar County, Illinois",17407,27974
"Boone County, Illinois",53537,30257
"Bureau County, Illinois",33122,29091
"Coles County, Illinois",51353,25029
"Crawford County, Illinois",18972,26611
"Putnam County, Illinois",5721,32691
"De Witt County, Illinois",15932,29287
"Lee County, Illinois",34389,30779
"Macoupin County, Illinois",45463,29329
"Richland County, Illinois",15766,27334
"Washington County, Illinois",14058,35549
