NAME,Population,Median_Income
"Chase County, Nebraska",3707,30750
"Clay County, Nebraska",6193,32480
"Cuming County, Nebraska",8882,34100
"Dawes County, Nebraska",8685,24033
"Dixon County, Nebraska",5682,30592
"Dundy County, Nebraska",1928,32416
"Frontier County, Nebraska",2636,29853
"Garden County, Nebraska",1916,26266
"Grant County, Nebraska",691,25000
"Hamilton County, Nebraska",9219,35157
"Cherokee County, Alabama",26035,24325
"Chilton County, Alabama",44147,25602
"Choctaw County, Alabama",12755,21793
"Clarke County, Alabama",23866,21952
"Clay County, Alabama",13285,23105
"Cleburne County, Alabama",14952,26221
"Coffee County, Alabama",52238,27683
"Colbert County, Alabama",54957,26121
"Conecuh County, Alabama",12219,21238
"Coosa County, Alabama",10696,22108
"Crenshaw County, Alabama",13826,22230
"Cullman County, Alabama",83345,25472
"Dallas County, Alabama",38184,20938
"DeKalb County, Alabama",71430,23282
"Escambia County, Alabama",36775,22747
"Etowah County, Alabama",102721,24321
"Franklin County, Alabama",31587,24061
"Greene County, Alabama",8221,18127
"Hale County, Alabama",14754,18364
"Houston County, Alabama",105319,26243
"Jackson County, Alabama",51765,24231
"Lamar County, Alabama",13854,22595
"Lauderdale County, Alabama",92870,26424
"Lee County, Alabama",163461,26380
"Lowndes County, Alabama",9936,20328
"Macon County, Alabama",18437,19505
"Marengo County, Alabama",19138,23742
"Marion County, Alabama",29818,20853
"Mobile County, Alabama",413977,26718
"Monroe County, Alabama",21006,22504
"Morgan County, Alabama",119352,27306
"Pickens County, Alabama",20049,20839
"Pike County, Alabama",33274,22274
"Russell County, Alabama",57938,25281
"St. Clair County, Alabama",88929,30269
"Sumter County, Alabama",12595,16495
"Tallapoosa County, Alabama",40450,24608
"Tuscaloosa County, Alabama",208854,26205
"Washington County, Alabama",16336,24523
"Wilcox County, Alabama",10552,19041
"Alameda County, California",1661584,45882
"Alpine County, California",1159,32660
"Butte County, California",223344,25467
"Colusa County, California",21491,28629
"Contra Costa County, California",1147788,43768
"El Dorado County, California",190345,37774
"Fresno County, California",990204,26633
"Chambers County, Alabama",33427,23436
"Humboldt County, California",136101,25316
"Imperial County, California",180580,18955
"Kern County, California",892458,25526
"Kings County, California",151090,28075
"Lassen County, California",30600,31642
"Madera County, California",155925,24564
"Marin County, California",259441,55546
"Mariposa County, California",17319,28157
"Mendocino County, California",87110,27297
"Merced County, California",273661,25856
"Modoc County, California",8853,26590
"Clay County, Minnesota",64029,34403
"Clearwater County, Minnesota",8872,27683
"Cook County, Minnesota",5402,34099
"Cottonwood County, Minnesota",11279,30255
"Crow Wing County, Minnesota",64775,31330
"Dakota County, Minnesota",425271,43111
"Dodge County, Minnesota",20807,40729
"Douglas County, Minnesota",37820,35355
"Faribault County, Minnesota",13727,31318
"Fillmore County, Minnesota",21031,34236
"Goodhue County, Minnesota",46330,37463
"Grant County, Minnesota",5962,30760
"Houston County, Minnesota",18670,35591
"Hubbard County, Minnesota",21287,29709
"Itasca County, Minnesota",45180,28990
"Kanabec County, Minnesota",16205,30094
"Kandiyohi County, Minnesota",42909,32091
"Koochiching County, Minnesota",12355,32178
"Lac qui Parle County, Minnesota",6645,30471
"Lake of the Woods County, Minnesota",3747,25883
"Le Sueur County, Minnesota",28425,37509
"Lyon County, Minnesota",25696,31096
"McLeod County, Minnesota",35788,35477
"Marshall County, Minnesota",9353,35537
"Martin County, Minnesota",19737,32253
"Mille Lacs County, Minnesota",25963,29704
"Morrison County, Minnesota",33119,31143
"Murray County, Minnesota",8247,31772
"Nicollet County, Minnesota",34176,34043
"Norman County, Minnesota",6466,31957
"Olmsted County, Minnesota",156446,41410
"Pennington County, Minnesota",14110,35092
"Pine County, Minnesota",29254,28913
"Polk County, Minnesota",31384,32158
"Pope County, Minnesota",11107,34388
"Red Lake County, Minnesota",4005,33221
"Redwood County, Minnesota",15193,31113
"Rice County, Minnesota",66549,32415
"Rock County, Minnesota",9386,34777
"St. Louis County, Minnesota",199499,30338
"Scott County, Minnesota",147201,45545
"Sibley County, Minnesota",14871,34900
"Stearns County, Minnesota",159788,31403
"Stevens County, Minnesota",9770,30332
"Swift County, Minnesota",9329,33237
"Traverse County, Minnesota",3282,31472
"Wabasha County, Minnesota",21564,35874
"Waseca County, Minnesota",18658,32154
"Washington County, Minnesota",259072,45682
"Wilkin County, Minnesota",6264,35078
"Winona County, Minnesota",50744,28526
"Wright County, Minnesota",136387,41604
"Yellow Medicine County, Minnesota",9775,32661
"Adair County, Missouri",25468,19758
"Andrew County, Missouri",17554,31245
"Atchison County, Missouri",5180,28000
"Audrain County, Missouri",25336,24973
"Barry County, Missouri",35615,26326
"Barton County, Missouri",11732,22124
"Alleghany County, Virginia",15030,27532
"Amelia County, Virginia",12970,36093
"Appomattox County, Virginia",15814,27668
"Arlington County, Virginia",236434,71423
"Bath County, Virginia",4248,32344
"Bedford County, Virginia",78965,33984
"Botetourt County, Virginia",33440,34879
"Brunswick County, Virginia",16336,21796
"Buckingham County, Virginia",17087,25134
"Campbell County, Virginia",55406,28870
"Carroll County, Virginia",29911,23137
"Charles City County, Virginia",6965,30957
"Charlotte County, Virginia",11953,25066
"Clarke County, Virginia",14498,39553
"Craig County, Virginia",5103,30150
"Cumberland County, Virginia",9869,26426
"Dickenson County, Virginia",14524,20122
"Essex County, Virginia",10960,26230
"Fairfax County, Virginia",1149439,54708
"Floyd County, Virginia",15766,30317
"Fluvanna County, Virginia",26873,40183
"Frederick County, Virginia",88054,38901
"Giles County, Virginia",16760,31143
"Goochland County, Virginia",23472,41037
"Grayson County, Virginia",15651,21911
"Greensville County, Virginia",11403,19285
"Halifax County, Virginia",34295,24302
"Henrico County, Virginia",330076,38360
"Henry County, Virginia",51032,22293
"Isle of Wight County, Virginia",37107,36028
"James City County, Virginia",76032,40529
"King and Queen County, Virginia",7011,36776
"King George County, Virginia",26679,40020
"King William County, Virginia",16985,37660
"Lancaster County, Virginia",10686,35231
"Lee County, Virginia",23723,18226
"Loudoun County, Virginia",405312,62137
"Louisa County, Virginia",36654,31994
"Lunenburg County, Virginia",12294,24771
"Madison County, Virginia",13208,30468
"Mathews County, Virginia",8760,39717
"Mecklenburg County, Virginia",30726,28078
"Middlesex County, Virginia",10642,30446
"Montgomery County, Virginia",98495,26281
"Nelson County, Virginia",14812,32635
"New Kent County, Virginia",22310,40328
"Northampton County, Virginia",11826,29013
"Northumberland County, Virginia",12151,32242
"Nottoway County, Virginia",15338,26558
"Orange County, Virginia",36501,34038
"Page County, Virginia",23862,26798
"Patrick County, Virginia",17660,25272
"Powhatan County, Virginia",29253,42834
